artist_clean,macro_genre,sub_genre,energy_level,mood
forfun,rock,alternative rock,medium,"happy, energetic, melancholic"
astrix,electronic,psytrance,very_high,"energetic, psychedelic"
limp bizkit,rock,nu metal,very_high,"aggressive, energetic"
linkin park,rock,nu metal,high,"aggressive, energetic, melancholic"
vegas,electronic,synth pop,medium,"happy, energetic"
blink182,rock,pop punk,high,"happy, energetic"
freedom fighters,electronic,dance music,high,"energetic, happy"
groundbass,electronic,ambient techno,low,"calm, melancholic"
system of a down,metal,alternative metal,high,"aggressive, energetic, psychedelic"
blazy,electronic,chillwave ambient,low,"calm, melancholic"
neelix,electronic,psytrance,high,"energetic, happy, psychedelic"
vini vici,electronic,psytrance,very_high,"energetic, happy, psychedelic"
electric universe,electronic,psychedelic trance,high,"energetic, psychedelic"
captain hook,rock,alternative rock,medium,"melancholic, energetic"
phaxe,electronic,progressive trance,high,"energetic, psychedelic"
the offspring,rock,punk rock,high,"energetic, aggressive"
omiki,electronic,ambient techno,low,"calm, melancholic"
ranji,electronic,ambient techno,low,"calm, melancholic"
avenged sevenfold,metal,heavy metal,high,"aggressive, energetic, melancholic"
synthatic,electronic,synthwave,medium,"calm, psychedelic, energetic"
ghost rider,rock,alternative rock,medium,"melancholic, energetic"
avalon,pop,synth pop,medium,"happy, energetic"
a day to remember,rock,post-hardcore pop-punk,high,"energetic, aggressive, happy"
slipknot,metal,nu metal,very_high,"aggressive, energetic"
vermont,electronic,ambient techno,low,"calm, melancholic"
terra,electronic,ambient techno,low,"calm, melancholic"
bloodywood,metal,folk metal,high,"aggressive, energetic"
tijah,electronic,synth pop,medium,"calm, happy"
merkaba,electronic,downtempo ambient,low,"calm, melancholic, psychedelic"
avicii,electronic,progressive house,high,"happy, energetic"
mitsunari br,electronic,experimental ambient,low,"calm, melancholic"
invasion,electronic,synthwave,medium,"calm, energetic"
charlie brown jr,rock,alternative rock,medium,"energetic, happy, melancholic"
gms,electronic,psytrance,high,"energetic, psychedelic"
the ghost inside,metal,metalcore,very_high,"aggressive, energetic"
sum 41,rock,pop punk,high,"energetic, happy, aggressive"
anavitria,electronic,ambient techno,low,"calm, melancholic"
ace ventura,other,soundtrack comedy,medium,"happy, energetic"
celestial aeon project,electronic,ambient trance,low,"calm, psychedelic"
calvin harris,electronic,dance pop,high,"happy, energetic"
foo fighters,rock,alternative rock,high,"energetic, aggressive"
avan7,electronic,synth pop,medium,"happy, energetic"
tisto,electronic,progressive house,high,"energetic, happy"
technical hitch,electronic,experimental techno,medium,"calm, psychedelic, energetic"
killerwatts,electronic,bass music,high,"energetic, psychedelic"
korn,metal,nu metal,high,"aggressive, energetic, melancholic"
falling in reverse,rock,post-hardcore,high,"aggressive, energetic, melancholic"
blastoyz,electronic,psytrance,high,"energetic, happy"
swedish house mafia,electronic,house music,high,"happy, energetic"
howard shore,other,film score,low,"calm, melancholic"
armin van buuren,electronic,trance progressive,high,"energetic, happy"
strike,rock,alternative rock,medium,"energetic, melancholic"
braza,other,experimental electronic,medium,"calm, psychedelic"
rinkadink,electronic,glitch hop,medium,"happy, energetic"
skindred,rock,metal reggae fusion,high,"energetic, aggressive"
bring me the horizon,metal,post-hardcore metalcore,high,"aggressive, energetic, melancholic"
green day,rock,punk rock,high,"energetic, aggressive"
pitty,rock,alternative rock,medium,"melancholic, energetic"
jirayauai,other,experimental electronic,medium,"calm, psychedelic"
basscannon,electronic,dubstep bass,very_high,"energetic, aggressive"
trilhas e razes,other,world music,medium,"calm, melancholic, psychedelic"
altruism,electronic,ambient techno,low,"calm, melancholic"
mahakatha,other,experimental fusion,medium,"calm, psychedelic"
faders,electronic,synth pop,medium,"happy, energetic"
pandora,electronic,synth pop,medium,"calm, happy"
sajanka,electronic,ambient techno,low,"calm, melancholic"
mrkitty,electronic,synthwave darkwave,medium,"melancholic, energetic"
dimitri vegas like mike,electronic,big room house,very_high,"happy, energetic"
the rasmus,rock,alternative rock,medium,"melancholic, energetic"
